Text,KM,Ano,Valor
VOLKSWAGEN UP 1.0 MPI TOTAL FLEX 4P MANUAL,KM 82714,2019/2020,"R$ 69.900,00"
VOLKSWAGEN AMAROK 2.0 HIGHLINE 4X4 CD 16V TURBO INTERCOOLER DIESEL 4P AUTOMÁTICO,KM 95019,2016/2017,"R$ 162.900,00"
RENAULT CAPTUR 1.6 16V SCE FLEX INTENSE X-TRONIC,KM 58508,2019/2019,"R$ 86.900,00"
FIAT MOBI 1.0 EVO FLEX LIKE. MANUAL,KM 37144,2021/2021,"R$ 56.900,00"
FIAT MOBI 1.0 EVO FLEX LIKE. MANUAL,KM 35211,2021/2021,"R$ 54.900,00"
VOLKSWAGEN CROSS UP 1.0 TSI 12V FLEX 4P MANUAL,KM 130048,2018/2019,"R$ 66.900,00"
VOLKSWAGEN NIVUS 1.0 200 TSI TOTAL FLEX HIGHLINE AUTOMÁTICO,KM 26817,2021/2021,"R$ 124.900,00"
RENAULT KWID 1.0 12V SCE FLEX INTENSE MANUAL,KM 83815,2017/2018,"R$ 45.900,00"
TOYOTA HILUX 3.0 SRV 4X4 CD 16V TURBO INTERCOOLER DIESEL 4P AUTOMÁTICO,KM 150213,2013/2014,"R$ 159.900,00"
VOLKSWAGEN FOX 1.6 MSI TOTAL FLEX CONNECT 4P MANUAL,KM 61081,2019/2020,"R$ 69.900,00"
NISSAN KICKS 1.6 16V FLEXSTART S 4P MANUAL,KM 104000,2017/2018,"R$ 82.900,00"
VOLKSWAGEN AMAROK 2.0 HIGHLINE 4X4 CD 16V TURBO INTERCOOLER DIESEL 4P AUTOMÁTICO,KM 66962,2017/2018,"R$ 181.900,00"
HONDA FIT 1.5 LX 16V FLEX 4P AUTOMÁTICO,KM 97665,2017/2018,"R$ 78.900,00"
VOLKSWAGEN TAOS 1.4 250 TSI TOTAL FLEX COMFORTLINE AUTOMÁTICO,KM 22115,2021/2022,"R$ 169.900,00"
VOLKSWAGEN T-CROSS 1.0 200 TSI TOTAL FLEX AUTOMÁTICO,KM 97374,2019/2020,"R$ 99.900,00"
JEEP COMPASS 2.0 16V FLEX LONGITUDE AUTOMÁTICO,KM 68097,2019/2019,"R$ 129.900,00"
VOLKSWAGEN GOL 1.0 12V MPI TOTALFLEX TRENDLINE 4P MANUAL,KM 66559,2017/2018,"R$ 52.900,00"
HYUNDAI HB20 1.6 COMFORT PLUS 16V FLEX 4P MANUAL,KM 84001,2016/2016,"R$ 59.900,00"
VOLKSWAGEN GOL 1.0 12V MPI TOTALFLEX 4P MANUAL,KM 139057,2019/2020,"R$ 55.900,00"
FIAT FIORINO 1.4 MPI FURGÃO HARD WORKING 8V FLEX 2P MANUAL,KM 41242,2020/2021,"R$ 85.900,00"
VOLKSWAGEN POLO 1.0 200 TSI HIGHLINE AUTOMÁTICO,KM 65000,2019/2019,"R$ 92.900,00"
FIAT TORO 2.0 16V TURBO DIESEL FREEDOM 4WD AT9,KM 57529,2018/2019,"R$ 134.900,00"
FIAT MOBI 1.0 EVO FLEX LIKE. MANUAL,KM 34226,2021/2022,"R$ 61.900,00"
FIAT MOBI 1.0 EVO FLEX LIKE. MANUAL,KM 34071,2021/2022,"R$ 61.900,00"
